STT,Tuần,Ngày,Tên bài học,Mẫu ngữ pháp,Mẫu ngữ pháp (Furigana),Cấu trúc,Ý nghĩa,Giải thích & Hướng dẫn,Ví dụ minh họa,Ví dụ (Furigana),URL bài học
107,Tuần 5,Ngày 6,第5週 (6) – ところで,～ 行 きたい。だけど、 行 けない。,～ 行(い) きたい。だけど、 行(い) けない。,A。だけど、B。 A＞＜B,Nhưng mà….,Dùng khi muốn thể hiện ý ngược lại với câu trước (thường là mong muốn),"1. 旅行 に 行 きたい。だけどひまがない。
   👉 Muốn đi du lịch. Nhưng không rảnh
2. よくカラオケに 行 く。だけど 歌 は 下手 だ。
   👉 Thường đi karaoke. Nhưng hát tệ","1. 旅行(りょこう) に 行(い) きたい。だけどひまがない。
   👉 Muốn đi du lịch. Nhưng không rảnh
2. よくカラオケに 行(い) く。だけど 歌(うた) は 下手(へた) だ。
   👉 Thường đi karaoke. Nhưng hát tệ",https://www.vnjpclub.com/somatome-n3-ngu-phap/tuan-5-6.html
108,Tuần 5,Ngày 6,第5週 (6) – ところで,～ 雨 です。ですから、 傘 がいります。,～ 雨(あめ) です。ですから、 傘(かさ) がいります。,＜理由／原因＞。 ＜当然の結果／判断＞。 ＋ ですから（だから）,Vì vậy nên,"Dùng cho câu kết quả, hệ quả của câu trước. Câu đi liền trước thường là câu nêu lý do, phán đoán, kết quả đương nhiên","1. 「 天気 予報 では 午後 から 雨 だそうです。ですから、 傘 を 持 っていったほうがいいですよ。」
   👉 Dựa báo thời tiết nghe nói là sẽ mưa từ chiều. Vì vậy, nên mang dù đi đấy.
2. 明日 から 旅行 に 行 きます。ですから、 申 し 訳 ありませんが、 来週 のパーテイーには 出席 できません。
   👉 Từ ngày mai sẽ đi du lịch. Vì vậy, xin lỗi nhưng mà tôi không thể tham dự bữa tiệc tuần sau được","1. 「 天気(てんき) 予報(よほう) では 午後(ごご) から 雨(あめ) だそうです。ですから、 傘(かさ) を 持(も) っていったほうがいいですよ。」
   👉 Dựa báo thời tiết nghe nói là sẽ mưa từ chiều. Vì vậy, nên mang dù đi đấy.
2. 明日(あした) から 旅行(りょこう) に 行(い) きます。ですから、 申(もう) し 訳(わけ) ありませんが、 来週(らいしゅう) のパーテイーには 出席(しゅっせき) できません。
   👉 Từ ngày mai sẽ đi du lịch. Vì vậy, xin lỗi nhưng mà tôi không thể tham dự bữa tiệc tuần sau được",https://www.vnjpclub.com/somatome-n3-ngu-phap/tuan-5-6.html
109,Tuần 5,Ngày 6,第5週 (6) – ところで,～ 行 く 予定 だった。ところが、 行 けなくなった,～ 行(い) く 予定(よてい) だった。ところが、 行(い) けなくなった,＜予想／予定＞。 ＜予想の結果／事実＞。 ＋ ところが,Nhưng mà,"Thường dùng trong trường hợp phủ định một suy đoán, dự định hoặc suy nghĩ về sự việc, hành động","1. 昨夜 はコンサートに 行 くつもりだった。ところが 病気 で 行 けなくなった。
   👉 Tối qua đã định đi hòa nhạc. Nhưng mà vì bệnh nên đã không thể đi được
2. 田中 さんは 私 より 若 いと 思 っていた。ところが 私 より５ 歳 も 年上 だった。
   👉 Tôi nghĩ là Tanaka trẻ hơn tôi. Nhưng mà hơn tôi đến 5 tuổi lận","1. 昨夜(さくや) はコンサートに 行(い) くつもりだった。ところが 病気(びょうき) で 行(い) けなくなった。
   👉 Tối qua đã định đi hòa nhạc. Nhưng mà vì bệnh nên đã không thể đi được
2. 田中(たなか) さんは 私(わたし) より 若(わか) いと 思(おも) っていた。ところが 私(わたし) より５ 歳(とし) も 年上(としうえ) だった。
   👉 Tôi nghĩ là Tanaka trẻ hơn tôi. Nhưng mà hơn tôi đến 5 tuổi lận",https://www.vnjpclub.com/somatome-n3-ngu-phap/tuan-5-6.html
110,Tuần 5,Ngày 6,第5週 (6) – ところで,～ 明日 は 試験 だ。ところで、 来週 は？,～ 明日(あした) は 試験(しけん) だ。ところで、 来週(らいしゅう) は？,A。ところで、B。,"Nhân tiện thì, nhân dịp này thì","Dùng trong trường hợp muốn đề cập đến một vấn đề khác, đổi chủ đề giữa chừng câu chuyện","1. 「 明日 、 試験 でしょ。がんばってね。ところで、 来週 の 月曜日 は 空 いてる？」
   👉 Ngày mai thi đấy. Cố nhé. Nhân tiện thì thứ hai tuần sau rảnh chứ?
2. もうすぐ、 今年 も 終 わりですね。ところで、お 正月 はどうなさいますか。
   👉 Năm nay sắp sửa kết thúc nhỉ. Nhân tiện thì tháng tết anh định làm gì?","1. 「 明日(あした) 、 試験(しけん) でしょ。がんばってね。ところで、 来週(らいしゅう) の 月曜日(げつようび) は 空(あ) いてる？」
   👉 Ngày mai thi đấy. Cố nhé. Nhân tiện thì thứ hai tuần sau rảnh chứ?
2. もうすぐ、 今年(ことし) も 終(お) わりですね。ところで、お 正月(しょうがつ) はどうなさいますか。
   👉 Năm nay sắp sửa kết thúc nhỉ. Nhân tiện thì tháng tết anh định làm gì?",https://www.vnjpclub.com/somatome-n3-ngu-phap/tuan-5-6.html
111,Tuần 6,Ngày 1,第6週 (1) – もし私じゃなかったら,～もし 受験 していたなら,～もし 受験(じゅけん) していたなら,もし ＋ Vた（な）ら Aかった（な）ら N/A（な）だった（な）ら,Giả sử là…thì….,Dùng khi muốn đưa ra giả thuyết về một sự việc không có thật và hệ quả của sự việc không có thật đó,"1. もし 試験 を 受 けていたなら、 合格 していたと 思 う。
   👉 Giả sử tham gia thi thì tôi nghĩ tôi đã đậu rồi
2. もし 彼 が 社長 でなかったなら、 会社 はつぶれていたと 思 う。
   👉 Nếu anh ấy không phải là giám đốc thì công ty đã sụp đổ rồi
3. もし、 留学 しなかったなら、 今 ごろは 国 で 結婚 しているだろう。
   👉 Nếu đã không đi du học thì bây giờ ở nước tôi chắc đã kết hôn rồi","1. もし 試験(しけん) を 受(う) けていたなら、 合格(ごうかく) していたと 思(おも) う。
   👉 Giả sử tham gia thi thì tôi nghĩ tôi đã đậu rồi
2. もし 彼(かれ) が 社長(しゃちょう) でなかったなら、 会社(かいしゃ) はつぶれていたと 思(おも) う。
   👉 Nếu anh ấy không phải là giám đốc thì công ty đã sụp đổ rồi
3. もし、 留学(りゅうがく) しなかったなら、 今(いま) ごろは 国(くに) で 結婚(けっこん) しているだろう。
   👉 Nếu đã không đi du học thì bây giờ ở nước tôi chắc đã kết hôn rồi",https://www.vnjpclub.com/somatome-n3-ngu-phap/tuan-6-1.html
112,Tuần 6,Ngày 1,第6週 (1) – もし私じゃなかったら,～もし 休 みがたとしても,～もし 休(やす) みがたとしても,もしV/A/N（普通形） ＋ と しても と したって,Giả sử là….thì cũng,Dùng khi nói đến giả định mang tính khả thi thấp,"1. もし 休 みが 取 れたとしても、 旅行 に 行 かないつもりです。
   👉 Giả sử đã lấy được kỳ nghĩ thì cũng không đi du lịch
2. もし、お 金 がたくさんあったとしても、そんなものは 買 わない。
   👉 Giả sử có nhiều tiền thì cũng không mua cái đó
3. もし 決勝戦 に 残 ったとしたって、 優勝 は 難 しいでしょう。
   👉 Giả sử có đến được vòng chung kết thì chiến thắng cũng sẽ rất khó khăn","1. もし 休(やす) みが 取(と) れたとしても、 旅行(りょこう) に 行(い) かないつもりです。
   👉 Giả sử đã lấy được kỳ nghĩ thì cũng không đi du lịch
2. もし、お 金(かね) がたくさんあったとしても、そんなものは 買(か) わない。
   👉 Giả sử có nhiều tiền thì cũng không mua cái đó
3. もし 決勝戦(けっしょうせん) に 残(のこ) ったとしたって、 優勝(ゆうしょう) は 難(むずか) しいでしょう。
   👉 Giả sử có đến được vòng chung kết thì chiến thắng cũng sẽ rất khó khăn",https://www.vnjpclub.com/somatome-n3-ngu-phap/tuan-6-1.html
113,Tuần 6,Ngày 1,第6週 (1) – もし私じゃなかったら,～もしも 生 まれ 変 われるなら,～もしも 生(う) まれ 変(か) われるなら,もしも もしもの場合 もしもの時 ＋ V／A／N（普通形）なら N／（Aな）なら V／A／Nたら V／Aても N／（Aな）でも,"Giả sử, nếu….thì/ thì cũng",Dùng cho trường hợp đưa ra điều kiện giả định,"1. もしも 生 まれ 変 われるなら、 男 になりたい。
   👉 Giả sử được sinh ra lần nữa, tôi muốn là con trai
2. もしも 地震 が 起 きても、この 家 、 丈夫 だから 倒 れないでしょう。
   👉 Dù động đất có xảy ra thì căn nhà này rất vững chắc nên sẽ không thể đổ được
3. あの 子 にもしものことがあったら、どうしよう。
   👉 Nếu có chuyện gì xảy ra với đứa trẻ đó thì làm sao đây?","1. もしも 生(う) まれ 変(か) われるなら、 男(おとこ) になりたい。
   👉 Giả sử được sinh ra lần nữa, tôi muốn là con trai
2. もしも 地震(じしん) が 起(お) きても、この 家(いえ) 、 丈夫(じょうぶ) だから 倒(たお) れないでしょう。
   👉 Dù động đất có xảy ra thì căn nhà này rất vững chắc nên sẽ không thể đổ được
3. あの 子(こ) にもしものことがあったら、どうしよう。
   👉 Nếu có chuyện gì xảy ra với đứa trẻ đó thì làm sao đây?",https://www.vnjpclub.com/somatome-n3-ngu-phap/tuan-6-1.html
114,Tuần 6,Ngày 2,第6週 (2) – 話せることは話せますが,～ 行 われることになっている,～ 行(おこな) われることになっている,Vる Vない ＋ ことになる,Bị/ được/ quy định làm gì,"Dùng khi muốn nhấn mạnh sự việc không phải do bản thân chủ thể quyết định mà do người khác hoặc nhân tố khác tác động, quy định, ra lệnh","1. 明日 、 新 しい 企画 についての 会議 が 行 われることになっている。
   👉 Ngày mai buổi họp về kế hoạch mới được quyết định tổ chức
2. 今度 、 大阪 に 転勤 することになりました。
   👉 Lần này đã được chuyển công tác về Osaka","1. 明日(あした) 、 新(あたら) しい 企画(きかく) についての 会議(かいぎ) が 行(おこな) われることになっている。
   👉 Ngày mai buổi họp về kế hoạch mới được quyết định tổ chức
2. 今度(こんど) 、 大阪(おおさか) に 転勤(てんきん) することになりました。
   👉 Lần này đã được chuyển công tác về Osaka",https://www.vnjpclub.com/somatome-n3-ngu-phap/tuan-6-2.html
115,Tuần 6,Ngày 2,第6週 (2) – 話せることは話せますが,～ジョギングすることにしている,～ジョギングすることにしている,Vる Vない ＋ ことにする,"Cố gắng làm gì, quyết định làm gì","Dùng khi muốn thể hiện ý chủ động của chủ thể trong việc thực hiện hành động là cố gắng, quyết định việc gì","1. 毎朝 、30 分 ジョギングすることにしています。
   👉 Mỗi ngày cố gắng chạy bộ 30 phút
2. 「あれ？ 買 い 物 に 行 かないの？」「うん、 明日 行 くことにした。」
   👉 ""Sao? Không đi mua sắm hả?""""Ừ, đã định ngày mai đi""","1. 毎朝(まいあさ) 、30 分(ぶん) ジョギングすることにしています。
   👉 Mỗi ngày cố gắng chạy bộ 30 phút
2. 「あれ？ 買(か) い 物(もの) に 行(い) かないの？」「うん、 明日(あした) 行(い) くことにした。」
   👉 ""Sao? Không đi mua sắm hả?""""Ừ, đã định ngày mai đi""",https://www.vnjpclub.com/somatome-n3-ngu-phap/tuan-6-2.html
116,Tuần 6,Ngày 2,第6週 (2) – 話せることは話せますが,～ 弾 けることはが・・・,～ 弾(ひ) けることはが・・・,Vることは Vる Aいことは Aい Aなことは Aだ ＋ が けれど,…..thì…..nhưng mà….,"Dùng trong trường hợp muốn giải thích, bày tỏ sự thật thấp hơn, không đến mức độ như đối phương nghĩ","1. ピアノは、 弾 けることは 弾 けますが、うまくありません。
   👉 Piano thì đánh thì biết đánh như mà không giỏi
2. このバッグ、 高 いことは 高 いけれど、すごく 使 いやすいです。
   👉 Cái túi này mắc thì có mắc nhưng mà rất là dễ dùng đấy","1. ピアノは、 弾(ひ) けることは 弾(ひ) けますが、うまくありません。
   👉 Piano thì đánh thì biết đánh như mà không giỏi
2. このバッグ、 高(たか) いことは 高(たか) いけれど、すごく 使(つか) いやすいです。
   👉 Cái túi này mắc thì có mắc nhưng mà rất là dễ dùng đấy",https://www.vnjpclub.com/somatome-n3-ngu-phap/tuan-6-2.html
117,Tuần 6,Ngày 2,第6週 (2) – 話せることは話せますが,～ 食 べないことはない,～ 食(た) べないことはない,Aくない Aじゃない Vない Vられない ＋ ことは ない,không phải là không ….,"Dùng trong trường hợp muốn nói rằng không phải bản thân phủ định sự việc, sự vật mà muốn bày tỏ lý do/ mức độ thấp hơn so với phủ định","1. 鶏肉 は、 食 べないことはないですが、あまり 好 きではありません。
   👉 Thịt gà thì không phải là không ăn mà không thích lắm
2. 「 走 れば 間 に 合 わないことはないよ。 急 ごう！」
   👉 Nếu chạy nhanh thì không có chuyện không kịp đâu. Hãy nhanh lên!","1. 鶏肉(とりにく) は、 食(た) べないことはないですが、あまり 好(す) きではありません。
   👉 Thịt gà thì không phải là không ăn mà không thích lắm
2. 「 走(はし) れば 間(ま) に 合(あ) わないことはないよ。 急(いそ) ごう！」
   👉 Nếu chạy nhanh thì không có chuyện không kịp đâu. Hãy nhanh lên!",https://www.vnjpclub.com/somatome-n3-ngu-phap/tuan-6-2.html
118,Tuần 6,Ngày 3,第6週 (3) – もう少しで乗り遅れるところだった,～ 聞 いたところ,～ 聞(き) いたところ,Vたところ,Sau khi thử làm gì…..,"Dùng trong trường hợp muốn nói đến sự ngạc nhiên, mức độ trầm trọng của vấn đề sau khi thử làm gì đó","1. 先生 に 今度 のテストの 範囲 を 聞 いたところ、10 課 までだと 言 われた。
   👉 Sau khi thử hỏi thầy giáo phạm vi bài kiểm tra lần này thì đã được nói là đến bài 10
2. 歯 が 痛 いので 歯医者 さんに 行 ったところ、ひどい 虫歯 になっていると 言 われた。
   👉 Vì răng đau nên sau khi thử đến nha sĩ thì đã bị nói là đã trở nên sâu nghiêm trọng rồi","1. 先生(せんせい) に 今度(こんど) のテストの 範囲(はんい) を 聞(き) いたところ、10 課(か) までだと 言(い) われた。
   👉 Sau khi thử hỏi thầy giáo phạm vi bài kiểm tra lần này thì đã được nói là đến bài 10
2. 歯(は) が 痛(いた) いので 歯医者(はいしゃ) さんに 行(い) ったところ、ひどい 虫歯(むしば) になっていると 言(い) われた。
   👉 Vì răng đau nên sau khi thử đến nha sĩ thì đã bị nói là đã trở nên sâu nghiêm trọng rồi",https://www.vnjpclub.com/somatome-n3-ngu-phap/tuan-6-3.html
119,Tuần 6,Ngày 3,第6週 (3) – もう少しで乗り遅れるところだった,～もう 少 しで 遅刻 するところだった,～もう 少(すこ) しで 遅刻(ちこく) するところだった,Vるところだった,Suýt chút nữa thì….,"Dùng cho trường hợp muốn bày tỏ cảm xúc đối với sự việc suýt chút nữa là đã xảy ra, đáng lẽ là đã xảy ra (cảm xúc thất vọng, tức giận, buồn bã, nhẹ nhõm….)","1. もう 少 しで 遅刻 するところだった。
   👉 Chỉ suýt chút nữa là trễ rồi
2. あと 少 しで 合格 するところだったのに・・・。
   👉 Chỉ suýt chút nữa là đậu rồi thế mà","1. もう 少(すこ) しで 遅刻(ちこく) するところだった。
   👉 Chỉ suýt chút nữa là trễ rồi
2. あと 少(すこ) しで 合格(ごうかく) するところだったのに・・・。
   👉 Chỉ suýt chút nữa là đậu rồi thế mà",https://www.vnjpclub.com/somatome-n3-ngu-phap/tuan-6-3.html
120,Tuần 6,Ngày 3,第6週 (3) – もう少しで乗り遅れるところだった,～ 注意 されてはじめて,～ 注意(ちゅうい) されてはじめて,Vてはじめて,Làm gì đó thì bắt đầu,"Thường dùng trong trường hợp sau khi thực hiện hành động nào đó thì mới bắt đầu nhận thức được, hiểu được một vấn đề nào đó","1. 先生 に 注意 されてはじめて、 漢字 の 間違 いに 気 が 付 いた。
   👉 được thầy nhắc nhở thì bắt đầu đã nhận ra lỗi sai Hán tự
2. 歌舞伎 を 見 てはじめて、 日本 文化 に 興味 を 持 った。
   👉 Xem ca vũ kịch thì bắt đầu đã có hứng thú với văn hóa Nhật Bản","1. 先生(せんせい) に 注意(ちゅうい) されてはじめて、 漢字(かんじ) の 間違(まちが) いに 気(き) が 付(つ) いた。
   👉 được thầy nhắc nhở thì bắt đầu đã nhận ra lỗi sai Hán tự
2. 歌舞伎(かぶき) を 見(み) てはじめて、 日本(にっぽん) 文化(ぶんか) に 興味(きょうみ) を 持(も) った。
   👉 Xem ca vũ kịch thì bắt đầu đã có hứng thú với văn hóa Nhật Bản",https://www.vnjpclub.com/somatome-n3-ngu-phap/tuan-6-3.html
121,Tuần 6,Ngày 3,第6週 (3) – もう少しで乗り遅れるところだった,～ 明 るいうちに,～ 明(あか) るいうちに,Vている Vない Aい Aな Nの ＋ うちに,"Trong lúc, trong khi","Dùng trong trường hợp thực hiện một hành động nào đó trong một khoảng thời gian không xác định. Khoảng thời gian không xác định này là khoảng thời gian mà một sự việc, tình trạng nào đó vẫn còn tiếp diễn","1. 明 るいうちに 帰 ってきなさい。
   👉 Hãy về nhà trong lúc trời còn sáng
2. 何度 も 聞 いているうちに 歌詞 を 覚 えた。
   👉 Đã nhớ được ca từ trong lúc nghe nhiều lần
3. 忘 れないうちに、メモをしておこう。
   👉 Hãy ghi chú lại trong lúc chưa quên","1. 明(あか) るいうちに 帰(かえ) ってきなさい。
   👉 Hãy về nhà trong lúc trời còn sáng
2. 何度(なんど) も 聞(き) いているうちに 歌詞(かし) を 覚(おぼ) えた。
   👉 Đã nhớ được ca từ trong lúc nghe nhiều lần
3. 忘(わす) れないうちに、メモをしておこう。
   👉 Hãy ghi chú lại trong lúc chưa quên",https://www.vnjpclub.com/somatome-n3-ngu-phap/tuan-6-3.html
122,Tuần 6,Ngày 4,第6週 (4) – できるわけがない,～ 暑 いわけだ,～ 暑(あつ) いわけだ,V/A/N（普通形） A だ な ＋ わけだ,"Hèn chi, chẳng trách là, đương nhiên là,",Dùng khi nói đến sự tất nhiên của kết quả (với giải thích nguyên nhân ở câu trước/sau),"1. 暑 いわけだ。 気温 が36 度 もある。
   👉 Đương nhiên là nóng rồi. Nhiệt độ đến 36 cơ mà
2. 「 田中 さん、 彼女 にふられたらしいよ。」「なるほど、それで、 元 気 がないわけだ。」
   👉 ""Tanaka, dường như bị bạn gái bỏ rồi đấy"" ""Chả trách, hèn chi không có sinh khí gì cả""","1. 暑(あつ) いわけだ。 気温(きおん) が36 度(たび) もある。
   👉 Đương nhiên là nóng rồi. Nhiệt độ đến 36 cơ mà
2. 「 田中(たなか) さん、 彼女(かのじょ) にふられたらしいよ。」「なるほど、それで、 元(もと) 気(き) がないわけだ。」
   👉 ""Tanaka, dường như bị bạn gái bỏ rồi đấy"" ""Chả trách, hèn chi không có sinh khí gì cả""",https://www.vnjpclub.com/somatome-n3-ngu-phap/tuan-6-4.html
123,Tuần 6,Ngày 4,第6週 (4) – できるわけがない,～きらいなわけではない,～きらいなわけではない,V/A/N（普通形） A だ な ＋ わけではない,"Không phải là, không hẳn là","Dùng khi giải thích về sự việc không ở mức độ cao, trầm trọng như đối phương suy nghĩ, suy luận ra.","1. きらいなわけではないが、 肉 はあまり 食 べない。
   👉 Không phải là ghét mà là tôi ít ăn thịt
2. テレビは 見 ないわけではないが、 音楽 を 聴 いているほうが 多 い。
   👉 Không phải là không xem tivi mà thường nghe nhạc hơn","1. きらいなわけではないが、 肉(にく) はあまり 食(た) べない。
   👉 Không phải là ghét mà là tôi ít ăn thịt
2. テレビは 見(み) ないわけではないが、 音楽(おんがく) を 聴(き) いているほうが 多(おお) い。
   👉 Không phải là không xem tivi mà thường nghe nhạc hơn",https://www.vnjpclub.com/somatome-n3-ngu-phap/tuan-6-4.html
124,Tuần 6,Ngày 4,第6週 (4) – できるわけがない,～ 勝 てるわけがない,～ 勝(か) てるわけがない,V/A/N（普通形） A だ な ＋ わけがない わけはない,"Không lý nào, không thể nào có khả năng, chắc chắn",Thường dùng trong trường hợp khẳng định một sự việc nào đó không thể nào xảy ra được (dựa trên căn cứ của bản thân),"1. あの 強 い 相手 に 勝 てるわけがない。
   👉 Không lý nào mà thắng được đối thủ mạnh thế kia
2. 「このパン、 古 くない？」「 古 いわけないよ。 昨日 買 ったんだから。」
   👉 ""Bánh mì này, chẳng phải cũ rồi sao?""""Không lý nào mà cũ. Mới mua hôm qua mà.""","1. あの 強(つよ) い 相手(あいて) に 勝(か) てるわけがない。
   👉 Không lý nào mà thắng được đối thủ mạnh thế kia
2. 「このパン、 古(ふる) くない？」「 古(ふる) いわけないよ。 昨日(きのう) 買(か) ったんだから。」
   👉 ""Bánh mì này, chẳng phải cũ rồi sao?""""Không lý nào mà cũ. Mới mua hôm qua mà.""",https://www.vnjpclub.com/somatome-n3-ngu-phap/tuan-6-4.html
125,Tuần 6,Ngày 4,第6週 (4) – できるわけがない,～ 休 むわけにはいかない,～ 休(やす) むわけにはいかない,V（普通形） ＋ わけには いかない わけにも いかない,"Bắt buộc phải, đành phải, không thể không",Dùng trong trường hợp muốn biểu lộ cảm xúc bị buộc phải làm một hành động nào đó (dù không muốn) do tình thế bắt buộc,"1. 大事 な 会議 があるから、 休 むわけにはいかない。
   👉 Vì có cuộc họp quan trọng nên không thể nghỉ được
2. 社長 の 命令 だから、 従 わないわけにはいかない。
   👉 Vì là lệnh của giám đốc nên phải tuân lệnh thôi","1. 大事(だいじ) な 会議(かいぎ) があるから、 休(やす) むわけにはいかない。
   👉 Vì có cuộc họp quan trọng nên không thể nghỉ được
2. 社長(しゃちょう) の 命令(めいれい) だから、 従(したが) わないわけにはいかない。
   👉 Vì là lệnh của giám đốc nên phải tuân lệnh thôi",https://www.vnjpclub.com/somatome-n3-ngu-phap/tuan-6-4.html
126,Tuần 6,Ngày 5,第6週 (5) – めったに行かない,～ 決 してあきらめない,～ 決(けっ) してあきらめない,決して ＋ Vない Aくない A（な）でない Nでない,"Nhất quyết không, nhất định không, tuyệt đối không",Dùng khi muốn thể hiện quyết tâm không thực hiện một hành động nào đó,"1. 私 は 決 して 夢 をあきらめません。
   👉 Tôi nhất quyết không từ bỏ ước mơ
2. 「うそは 決 して 申 しません。」と 彼 は 言 った。
   👉 Anh ấy đã nói ""Tuyệt đối không nói dối""","1. 私(わたし) は 決(けっ) して 夢(ゆめ) をあきらめません。
   👉 Tôi nhất quyết không từ bỏ ước mơ
2. 「うそは 決(けっ) して 申(もう) しません。」と 彼(かれ) は 言(い) った。
   👉 Anh ấy đã nói ""Tuyệt đối không nói dối""",https://www.vnjpclub.com/somatome-n3-ngu-phap/tuan-6-5.html
127,Tuần 6,Ngày 5,第6週 (5) – めったに行かない,～まったく 泳 げない,～まったく 泳(およ) げない,まったく ＋ Vない Aくない A（な）でない,Hoàn toàn không,"Dùng khi khẳng định sự vật, sự việc hoàn toàn không có, không thể xảy ra.","1. 私 はまったく 泳 げない。
   👉 Tôi hoàn toàn không thể bơi được
2. 彼 が 怒 っている 理由 は、 私 にはまったくわからない。
   👉 Lý do anh ấy nổi giận thì với tôi hoàn toàn chẳng hiểu được
3. 前 とは 違 うまったく 新 しい 計画 を 立 てた。
   👉 Đã làm kế hoạch mới hoàn toàn khác với trước đây","1. 私(わたし) はまったく 泳(およ) げない。
   👉 Tôi hoàn toàn không thể bơi được
2. 彼(かれ) が 怒(いか) っている 理由(りゆう) は、 私(わたし) にはまったくわからない。
   👉 Lý do anh ấy nổi giận thì với tôi hoàn toàn chẳng hiểu được
3. 前(まえ) とは 違(ちが) うまったく 新(あたら) しい 計画(けいかく) を 立(た) てた。
   👉 Đã làm kế hoạch mới hoàn toàn khác với trước đây",https://www.vnjpclub.com/somatome-n3-ngu-phap/tuan-6-5.html
128,Tuần 6,Ngày 5,第6週 (5) – めったに行かない,～めったにない,～めったにない,Nはめったにない めったにVない,Hiếm khi,"Thường dùng trong trường hợp số lượng của sự vật, sự việc rất ít, hầu như hiếm khi có được, xảy ra","1. こんなチャンスはめったにないよ。
   👉 Cơ hội thế này là hiếm có lắm đấy
2. 忙 しくてめったに 休 みが 取 れない。
   👉 Vì bận nên hiếm khi mà nghỉ được","1. こんなチャンスはめったにないよ。
   👉 Cơ hội thế này là hiếm có lắm đấy
2. 忙(いそが) しくてめったに 休(やす) みが 取(と) れない。
   👉 Vì bận nên hiếm khi mà nghỉ được",https://www.vnjpclub.com/somatome-n3-ngu-phap/tuan-6-5.html
129,Tuần 6,Ngày 5,第6週 (5) – めったに行かない,～ 少 しもわからない,～ 少(すこ) しもわからない,少しも ちっとも ＋ Vない Aくない A（な）でない,"Một chút cũng không, hoàn toàn không",Dùng nhấn mạnh sự phủ định,"1. あの 人 が 話 す 英語 は 少 しもわからない。
   👉 Thứ tiếng Anh mà người kia nói tôi một chút cũng chẳng hiểu
2. スタイルのことは、 少 しも 気 にならない。
   👉 Về style thì tôi chẳng quan tâm
3. 日本語 は 少 ししか 話 せません。
   👉 Chỉ có thể nói được một ít tiếng Nhật","1. あの 人(ひと) が 話(はな) す 英語(えいご) は 少(すこ) しもわからない。
   👉 Thứ tiếng Anh mà người kia nói tôi một chút cũng chẳng hiểu
2. スタイルのことは、 少(すこ) しも 気(き) にならない。
   👉 Về style thì tôi chẳng quan tâm
3. 日本語(にほんご) は 少(すこ) ししか 話(はな) せません。
   👉 Chỉ có thể nói được một ít tiếng Nhật",https://www.vnjpclub.com/somatome-n3-ngu-phap/tuan-6-5.html
130,Tuần 6,Ngày 6,第6週 (6) – その上,～トマト3 個 。それとピーマンも。,～トマト3 個(こ) 。それとピーマンも。,A。それと B。 A。あと B。 （＝それから）,Và rồi,"Dùng khi muốn thêm, gia tăng số lượng của sự vật, sự việc, con người.","1. レタスひとつとトマトを3 個 ください。それと、ピーマンも１ 袋 ください。
   👉 Cho tôi 1 bó rau diếp và 3 quả cà chua. Và 1 túi ớt.
2. 言 われたことはしました。あと、 何 をすればいいですか。
   👉 Tôi đã làm những gì được bảo. Và tôi nên làm gì khác nữa?
3. 「 今日 はこれで 全員 かな。」「あと、 田中 さんが 来 ると 思 います。」
   👉 ""Hôm nay thì ở đây là toàn bộ nhân viên rồi hay sao nhỉ""""Tôi nghĩ vẫn còn Tanaka sắp đến""","1. レタスひとつとトマトを3 個(こ) ください。それと、ピーマンも１ 袋(ふくろ) ください。
   👉 Cho tôi 1 bó rau diếp và 3 quả cà chua. Và 1 túi ớt.
2. 言(い) われたことはしました。あと、 何(なに) をすればいいですか。
   👉 Tôi đã làm những gì được bảo. Và tôi nên làm gì khác nữa?
3. 「 今日(きょう) はこれで 全員(ぜんいん) かな。」「あと、 田中(たなか) さんが 来(く) ると 思(おも) います。」
   👉 ""Hôm nay thì ở đây là toàn bộ nhân viên rồi hay sao nhỉ""""Tôi nghĩ vẫn còn Tanaka sắp đến""",https://www.vnjpclub.com/somatome-n3-ngu-phap/tuan-6-6.html
131,Tuần 6,Ngày 6,第6週 (6) – その上,～コーヒー？それとも 紅茶 ？,～コーヒー？それとも 紅茶(こうちゃ) ？,A？それとも B？ （＝あるいは／または）,"Hay là, hoặc là","Dùng khi muốn liên kết hai câu hỏi, nhằm đưa ra nhiều sự lựa chọn cho đối phương","1. コーヒーにしますか。それとも 紅茶 にしますか。
   👉 Uống cà phê? Hay là uống trà?
2. 来週 にしましょうか。それとも 再来週 がいいですか。
   👉 Quyết định tuần sau nhé. Hay là tuần sau nữa thì được?
3. 話 し 合 って 決 めましょうか。それとも 私 が 決 めてしまってもいいですか。
   👉 Bàn bạc rồi quyết định? Hay là tôi tự quyết cũng được?","1. コーヒーにしますか。それとも 紅茶(こうちゃ) にしますか。
   👉 Uống cà phê? Hay là uống trà?
2. 来週(らいしゅう) にしましょうか。それとも 再来週(さらいしゅう) がいいですか。
   👉 Quyết định tuần sau nhé. Hay là tuần sau nữa thì được?
3. 話(はな) し 合(あ) って 決(き) めましょうか。それとも 私(わたし) が 決(き) めてしまってもいいですか。
   👉 Bàn bạc rồi quyết định? Hay là tôi tự quyết cũng được?",https://www.vnjpclub.com/somatome-n3-ngu-phap/tuan-6-6.html
